Label;Category;Denomination;Content;Rock type;Location;Producer;Amount;Comments;Link
153;Certified;;;slag;;Research Institute of Nova Hut Ostrava;;Samples: 1 large jar;
3999;;;;;;;;;
8271;;;;;;;;;
70RL2 ;Hausstandard;;;;;;;Samples: 1 large jar;
70RL26;Hausstandard;;;;;;;Samples: 1 large jar;
70Rl29;Hausstandard;;;;;;;Samples: 1 large jar;
70RL3;Hausstandard;;;;;;;Samples: 1 large jar;
70RL5;Hausstandard;;;;;;;Samples: 1 large jar;
IR 78/12/2;Standards Iran (Dr. Spies);8122 S;;;Iran;;;Samples: 1 large jar, 1 small jar, Sticker S, Name IR 78/12/2 is the same as 8122 S;
IR 78/17/3;Standards Iran (Dr. Spies);8173 S;;;Iran;;;Samples: 1 large jar, 1 small jar, Name IR 78/17/3 is the same as 8173 S.;
IR 78/17/4;Standards Iran (Dr. Spies);;;;Iran;;0 g;;
IR 78/27/1;Standards Iran (Dr. Spies);;;;Iran;;~3 g ;Samples: 1 large jar, Sticker S;
IR 78/27/2;Standards Iran (Dr. Spies);;;;Iran;;0 g;;
IR 78/34/2;Standards Iran (Dr. Spies);8342 S;;;Iran;;;Samples: 1 large jar, 1 small jar, Sticker S, Name IR 78/34/2 is the same as 8342 S.;
IR 78/6/1;Standards Iran (Dr. Spies);8061 S;;;Iran;;;Samples: 1 large jar, 1 small jar, Sticker S, Name IR 78/6/1 is the same as 8061 S.;
A-1;Hausstandard;;;Amphibolit;;;;Samples: 1 large jar, 1 small jar;
AC-E;Certified;;Granite;Granite;Ailsa Graig Island, S. W. Scotland, GBR;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";~14.5g;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-AC-E_1.html
AGV-1;Certified;;Andesite;Andesite;Lake County, OR, East wall of Guano valley;United States Geological Survey;;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-AGV-1_1.html
AL-I;Certified;GIT-IWG;Feldspar;Albite (Feldspar);Pinzele, Trente, ITA;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";paper bag: 6.8 g;Samples: 1 small jar, 1 paper bag (20726);http://www.geostandards.lanl.gov/AllAnalytes/All-AL-I_1.html
Amina 8;No international standard;;Feldspar;Potash Feldspar;;;7.9 g;Samples: 1 small jar;
AN-G;Certified;;Anorthosite;Anorthosite;Fiskenaesset, Western Greenland, GRL;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";~15g;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-AN-G_1.html
AnK;Certified;;;Anorthosite;;Geological Institute, Warsaw, Poland;;Samples: 1 medium jar, stored in black box;
ASK-3;Certified;;;Sulfide Ore;Kismalm;Analytik Sporelement K.;;Samples: 1 medium jar;
BAM 532-1;Certified;;;;;Max-Planck-Institut D., Bundesanstalt f. Materialforschung;;Samples: 1 large jar;
BAM 633-1;Certified;;;;;Max-Planck-Institut D., Bundesanstalt f. Materialforschung ;;Samples: 1 large jar;
BB;Göttinger Hausstandard;;;;;;;Samples: 1 small jar;
BB 46;Göttinger Hausstandard;;;;;;;Samples: 1 small jar, 46 Fl.D 6;
BCR-1;Certified;;Basalt;Columbia River Basalt;Bridal Veil Flow Quarry, WA;United States Geological Survey;;Samples: 1 medium jar, 3 small jars, Split 1 Positon 19, Split 50 Positon 3;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BCR-1_1.html
BCR-2;Certified;;;;;United States Geological Survey;;Samples: 1 small jar;
BCS 204a;Certified;;;Zircon;;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar;
BCS 267;Certified;;;Silica Brick;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar;
BCS 269;Certified;;;Firebrick;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, 1  medium jar;
BCS 290/2;Certified;;;Manganese Steel;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, Euro-Standard 253-1;
BCS 301/1;Certified;;;Iron ore ;Lincolnshire;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar;
BCS 303;Certified;;;Iron Ore Sinter;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar;
BCS 308;Certified;;;Grecian Chrome Ore;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar;
BCS 309;Certified;;;Sillimanit;;Bureau of Analysed Samples, Ltd.;;Samples: 1 large jar, 1 small jar;
BCS 358;Certified;;;Zircon;;Bureau of Analysed Samples, Ltd.;;Samples: 1 small jar;
