Standard;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O;H2O+;H2O-;H2O-T;K2O;Li2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cs2O;Cr2O3;CuO;NiO;Rb2O;SrO;WO3;ZnO;ZrO2;Oxide Sum;Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ni;O;Os;P;Pb;Pd;Pr;Pt;Ra;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Carbon Total;Carbon Inorga;Carbon Organic;Carbon Organic Calc;Ag-107;Ag-109;Ag-109/107;Ar-36;Ar-38/36;Ar-40/36;B-11/10;Ba-130/138;Ba-135/138;Ba-136/138;Cd-106;Cd-108;Cd-110;Cd-111;Cd-112;Cd-113;Cd-114;Cd-114/116;Cd-116;Ce-138/142;Cu-63;Cu-63/65;Cu-65;dC-13 -;dN-15 +;dO-18 Biotite;dO-18 K-feldspar;dO-18 Plagioclase;dO-18 Quartz;dO-18 Whole Rock;dS-34 +;dS-34 -;He-3/4;He-4;Hf-176/177;Kr-78/84;Kr-80/84;Kr-82/84;Kr-83/84;Kr-84;Kr-86/84;Li-7/6;Nd-142/144;Nd-143/144;Nd-145/144;Nd-146/144;Nd-148/144;Nd-150/144;Ne-20;Ne-20/22;Ne-21/22;NH4;Pb-204;Pb-206;Pb-207;Pb-208;Pb-206/204;Pb-207/204;Pb-208/204;Pb-208/206;Ra;Ra-226;Ra-228;Ra-228/226;Sm-147/Nd-14;Sr-87/86;Tl-203;Tl-205;Tl-205/203;Thorium Series Isotopes;Th-228/232;Th-230/232;U-series;U-234/238;U-238/235;V-51/50;Xe-128/132;Xe-129/132;Xe-130/132;Xe-131/132;Xe-132;Xe-134/132;Xe-136/132;Zn-68/64;Age;Loss on Ignition;Comment
AC-E;Concentration;14.7;0.34;0.07;1.34;2.53;1.07;;0.22;0.15;;4.49;0.02;0.03;0.058;6.54;0.014;70.35;0.11;0.006762;0.00614075;;0.000496927;;;;0.000354783;;0.02788262;0.1053;;0.1;7.78;2.3;;21;55;12;0.4;0.5;;2400;0.6;154;180;0.2;3.4;3;4;29;17.7;2;2100;1.77;39;26;2.3;;27.9;;6.5;;0.11;;3.73;59;93;2.45;;450;2.5;;4.85;110;92;1.5;;;61;39;;22.2;;;152;;;;70;0.4;0.11;;;24.2;13;3;6.4;4.8;;18.5;;0.9;2.6;4.6;3;1.5;184;17.4;224;780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.37;
AC-E;Uncertainty;0.05;0.02;0.02;0.06;0.02;0.04;;0.04;0.02;;0.02;0.0011;0.01;0.002;0.04;0.004;0.07;0.02;0.0008372;0.00055825;;0.000175386;;;;9.46088E-05;;0.000746856;0.0027;;0.04;0.03;1;;2.6;5;1.1;;;;140;0.3;4.7;;0.1;1.2;0.54;0.9;1.5;1.2;0.09;200;0.014;3.7;1.5;;;1.4;;0.5;;;;0.017;2;5;0.11;;15;0.9;;0.03;5;6;0.5;;;17;3;;2.6;;;2.1;;;;;0.08;0.05;;;0.8;4;0.8;0.3;0.2;;0.7;;;0.24;0.46;1;0.4;5;0.5;6;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AC-E;Units;%;%;%;%;%;%;;%;%;;%;%;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;;ppm;%;ppm;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;;ppm;;ppm;;%;ppm;ppm;ppm;;ppm;ppm;;%;ppm;ppm;ppm;;;ppm;ppm;;ppm;;;ppm;;;;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
AC-E;N;126;134;13;51;146;48;;30;33;;146;29;107;153;140;88;124;134;8;78;;47;;;;61;;93;79;;6;126;17;;8;78;24;;;;134;9;60;7;40;47;25;54;25;18;41;14;146;28;27;;;24;;18;;;;146;66;29;34;;153;18;;140;60;49;39;;;88;65;;15;;;90;;;;8;8;25;;;46;14;61;22;26;;52;;;13;34;22;8;78;48;93;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;
AC-E;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;;;;Working value;;Working value;Working value;;Working value;Working value;Working value;;Working value;Working value;Working value;Provisional value;Provisional value;;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;Working value;;Working value;;Provisional value;;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;Working value;Working value;Working value;;;Working value;Working value;;Working value;;;Working value;;;;Provisional value;Working value;Working value;;;Working value;Working value;Working value;Working value;Working value;;Working value;;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Working value;
AGV-1;Concentration;17.15;4.94;0.03;4.46;6.77;2.06;;0.78;1;1.78;2.92;;1.53;0.092;4.26;0.49;58.84;1.05;0.0025116;0.1368829;;0.001476166;;;;0.07828879;;0.01095389;0.030645;99.74;0.078;9.07;0.88;0.00062;7.8;1226;2.1;0.057;0.32;90;3.53;0.069;67;119;15.3;10.1;1.28;60;3.6;1.7;1.64;425;4.73;20;5;1.25;1300;5.1;0.02;0.67;0.27;0.041;0.0002;2.42;38;12;0.27;0.92;710;2.7;38;3.16;15;33;16;47.2;bdl;2150;36;0.0022;7.6;0.0011;;67.3;0.00038;bdl;bdl;26;4.3;12.2;0.05;27.48;5.9;4.2;662;0.9;0.7;0.0019;6.5;6300;0.34;0.34;1.92;121;0.55;20;1.72;88;227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.81;15.59;38.46;;;0.69;;;;0.704062;;;;;;;;;;;;;;;;;;;;1.21;There were two datasets for BaO. The data set with the better data quality is shown. The other dataset is: BaO, Concentration: 0.14, Uncertainty: 0.01, Units: %, N: 130, Data Quality: Recommended value.
AGV-1;Detection limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00002;;;;;;;;;0.0001;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGV-1;Uncertainty;0.15;0.14;0.03;0.22;0.17;0.11;;0.16;0.18;0.2;0.08;;0.1;0.01;0.11;0.04;0.28;0.05;0.0003864;0.00189805;;0.000350772;;;;0.001064349;;0.001120284;0.00243;0.68;0.028;0.08;0.11;0.00012;1.2;17;0.3;0.008;0.17;70;0.1;0.009;5;6;1.6;2.4;0.14;5;0.3;0.2;0.1;32;0.12;3;0.5;0.13;440;0.4;0.009;0.1;0.03;0.006;0.0003;0.07;3;1.6;0.03;0.06;50;0.9;6;0.08;3;3;3;0.3;;160;5;0.0003;1.1;;;0.9;;;;11;0.4;1.1;0.05;0.13;0.4;1.1;9;0.09;0.1;0.0006;0.5;300;0.06;0.13;0.15;11;0.09;3;0.19;9;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000048;;;;;;;;;;;;;;;;;;;;;
AGV-1;Units;%;%;%;%;%;%;;%;%;%;%;;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pCi/g;;;;;;;;;;;;;;;;;;;;;;;;%;
AGV-1;N;150;162;17;37;181;51;;27;32;3;173;;145;170;137;88;139;159;22;130;;111;;;;160;;110;112;;23;150;24;8;22;130;24;13;7;17;162;18;102;25;138;111;51;118;42;27;91;35;181;66;48;13;3;46;27;36;5;10;6;173;108;43;66;145;170;40;3;137;49;67;120;14;3;88;92;3;29;2;;147;2;1;1;9;42;75;10;139;91;32;160;43;67;3;97;159;25;31;74;99;18;68;89;110;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;1;;;;4;;;;;;;;;;;;;;;;;;;;2;
